,Prolific ID,test_index,num_feats,Correct Response,test_key_resp.corr,test_key_resp.rt,graph_type
47,5a351b1ac82921000136b467,35.0,3.0,right,1.0,1.3484,structured
0,661ee735d1619c1f872b98f6,27.0,3.0,left,0.0,3.4372,structured
1,661ee735d1619c1f872b98f6,34.0,3.0,left,1.0,1.4624,structured
2,661ee735d1619c1f872b98f6,11.0,1.0,right,1.0,3.7662,structured
3,661ee735d1619c1f872b98f6,6.0,1.0,right,0.0,1.1768,structured
4,661ee735d1619c1f872b98f6,23.0,2.0,right,1.0,1.3036,structured
5,661ee735d1619c1f872b98f6,29.0,3.0,left,0.0,6.0472,structured
6,661ee735d1619c1f872b98f6,18.0,2.0,right,0.0,3.3243,structured
7,661ee735d1619c1f872b98f6,22.0,2.0,right,0.0,9.2467,structured
8,661ee735d1619c1f872b98f6,21.0,2.0,left,1.0,4.7587,structured
9,661ee735d1619c1f872b98f6,47.0,4.0,left,0.0,1.8687,structured
